,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
68,Fiji,,4.31,15.26,20.26,21.76,8.96,276.49,5.9,206.62,35.01,55.9,6.44,5.92,40.2,57.26,639.2,84.22,16.06,45.62,58.38,0.3,0.14,1.3,2.3,76.88,562.32
69,South Korea,,32.76,115.95,16,17.19,14.53,448.37,0.14,4.9,33.09,52.83,11.24,10.33,29.05,41.38,690.95,50.84,9.7,85.18,109,8.35,3.76,4.88,8.64,131.1,559.85
70,Poland,,46.19,163.49,27.41,29.44,2.32,71.59,0.02,0.7,10.49,16.75,7.53,6.92,205.39,292.56,581.45,108.83,20.75,0.95,1.22,0.06,0.03,2.23,3.95,25.94,555.5
71,Saudi Arabia,,0,0,49.05,52.69,6.45,199.03,6.54,229.03,11.99,19.14,5.37,4.93,83.65,119.15,623.98,89.47,17.06,36.02,46.09,0.05,0.02,3.23,5.72,68.9,555.08
72,Botswana,,0.74,2.62,5.33,5.73,7.85,242.23,3.76,131.67,3.98,6.35,1.95,1.79,117.74,167.71,558.11,38.2,7.28,7.06,9.03,1.16,0.52,1.08,1.91,18.75,539.36
73,Macedonia,,10.35,36.63,18.77,20.16,7.69,237.3,0.94,32.92,5.47,8.73,6.38,5.86,157.93,224.96,566.56,104.8,19.99,2.81,3.6,0.46,0.21,5.87,10.39,34.18,532.38
74,Hungary,,34.93,123.63,23.78,25.54,4.96,153.06,0.11,3.85,4.93,7.87,12.45,11.44,159.05,226.55,551.95,109.98,20.97,2.15,2.75,0.01,0,0.64,1.13,24.86,527.08
75,Trinidad and Tobago,,8.92,31.57,58.27,62.59,6.13,189.16,2.79,97.71,20.54,32.8,4.2,3.86,103.8,147.85,565.54,90.17,17.2,16.38,20.96,0.04,0.02,3.78,6.69,44.87,520.67
76,Tunisia,,0,0,18.5,19.87,5.53,170.64,5.34,187.01,12.63,20.17,7.67,7.05,114.47,163.05,567.79,197.5,37.66,1.07,1.37,1.88,0.85,6.34,11.22,51.1,516.69
77,Egypt,,0.02,0.07,14.43,15.5,12.88,397.45,1.58,55.33,21.46,34.26,4.59,4.22,59.46,84.69,591.53,146.83,28,39.77,50.89,0.64,0.29,1.82,3.22,82.4,509.12
78,Mauritius,,4.08,14.44,38.51,41.37,5.99,184.84,4.08,142.88,19.66,31.39,6.32,5.81,117.27,167.04,587.76,114.02,21.74,45.56,58.3,0.3,0.14,2.33,4.12,84.31,503.46
79,Bulgaria,,26.26,92.95,20.68,22.21,3.84,118.49,1.63,57.08,6.24,9.96,8.36,7.68,155.71,221.79,530.17,121.17,23.11,2.24,2.87,0.04,0.02,2.26,4,29.99,500.18
80,Morocco,,0.01,0.04,20.77,22.31,8.04,248.1,4.36,152.69,17.44,27.85,6.68,6.14,54.68,77.89,535,179.7,34.27,1.1,1.41,0,0,3.23,5.72,41.39,493.61
81,Slovakia,,31.78,112.49,15.13,16.25,5.19,160.15,0.16,5.6,8.39,13.4,16.05,14.74,143.14,203.89,526.52,123.62,23.57,2.88,3.69,0.02,0.01,3.7,6.55,33.82,492.7
82,Niger,,0.09,0.32,1.08,1.16,8.97,276.8,4.17,146.03,2.7,4.31,0.3,0.28,58.92,83.93,512.82,4.79,0.91,13.17,16.85,0,0,6.95,12.3,30.07,482.75
83,Kenya,,0.29,1.03,0.47,0.5,9.54,294.38,1.86,65.14,4.27,6.82,1.84,1.69,94.86,135.12,504.68,34.65,6.61,12.94,16.56,0.2,0.09,1.64,2.9,26.16,478.52
84,Jordan,,0.02,0.07,33.39,35.87,5.61,173.11,5.68,198.91,5.13,8.19,3.92,3.6,77.68,110.65,530.4,136.74,26.08,19.67,25.17,0.02,0.01,3.56,6.3,57.56,472.85
85,Japan,,20.62,72.98,19.42,20.86,9.15,282.35,0.14,4.9,31.1,49.66,19.15,17.59,72.06,102.64,550.99,45.04,8.59,59.85,76.59,7.34,3.3,2.59,4.58,93.07,457.92
86,Georgia,,8.93,31.61,12.28,13.19,6.04,186.38,0.63,22.06,10.42,16.64,6.12,5.62,149.26,212.61,488.11,163.43,31.17,2.64,3.38,0,0,2.47,4.37,38.92,449.19
87,Grenada,,11.52,40.78,43.51,46.74,3.46,106.77,1.25,43.77,27.95,44.63,10.34,9.5,86.88,123.75,415.93,59.59,11.36,9.56,12.23,0.01,0,0.18,0.32,23.92,392.01
88,El Salvador,,3.23,11.43,19.84,21.31,5.95,183.6,0.02,0.7,6.25,9.98,9.51,8.74,124.34,177.11,412.87,28.19,5.38,10.53,13.48,0.8,0.36,1.1,1.95,21.16,391.72
